Mæg	mag
up	up
ofer	ofer
þa	þu|þa|se
brycge	None
æt	æt|etan
Paris	paris
Æþelhelm	æþelhelm
aldormon	ealdorman
lædde	lædan
Wesseaxna	west-seaxe
ælmessan	ælmesse
&	None
Ælfredes	ælfred
cyninges	cyning
to	toh|to
Rome	rom
Her	her
lædde	lædan
Beocca	beocca
aldormon	ealdorman
Wesseaxna	west-seaxe
ælmessan	ælmesse
&	None
Ælfredes	ælfred
cyninges	cyning
to	toh|to
Rome	rom
&	None
Æþelswiþ	æþelswiþ
cuen	None
sio	se
wæs	wesan|seon|beon
Ælfredes	ælfred
sweostor	sweostor
cyninges	cyning
forþferde	forþferan
&	None
hire	hire|heo
lic	liс|lic
liþ	liþan|liþ
æt	æt|etan
Pafian	pafia
&	None
þy	þywan|þy|þe|se
ilcan	ilca
geare	geare|gear
Æþelred	æþelred
ercebiscep	arcebisceop
&	None
Æþelwold	æþelwald
aldormon	ealdorman
forþferdon	forþferan
on	on|an
anum	an
monþe	monaþ
On	on
þissum	þes
geare	geare|gear
n	næs|ne
æs	æs
nan	nan
færeld	færeld
to	toh|to
Rome	rom
buton	butan
tuegen	twegen
hleaperas	hleapere
Ælfred	ælfred
cyning	cyning
sende	sendan
mid	mid
gewritum	gewrit
Her	her
lædde	lædan
Beornhelm	beornhelm
abbod	abbad
West.Seaxna	west-seaxe
ælmessan	ælmesse
to	toh|to
Rome	rom
&	None
Ælfredes	ælfred
cyninges	cyning
&	None
Godrum	godrum
se	se
norþerna	norþerne
cyning	cyning
forþferde	forþferan
þæs	se
fulluht.nama	fulluhtnama
wæs	wesan|seon|beon
Æþelstan	æþelstan
se	se
wæs	wesan|seon|beon
Ælfredes	ælfred
cyninges	cyning
godsunu	godsunu
&	None
he	he
bude	buan|beodan
on	on|an
East.Englum	east-engle
&	None
þæt	þæt|se
lond	land
ærest	ærest|ær
gesæt	gesittan
&	None
þy	þywan|þy|þe|se
ilcan	ilca
geare	geare|gear
for	for|faran
se	se
here	herian|here|heran
of	of
Sigene	sigen
to	toh|to
Sant.Laudan	sant
þæt	þæt|se
is	wesan|seon|is
butueoh	betweoh
Brettum	bryttas
&	None
Francum	francan
&	None
Brettas	bryttas
him	him|hi|he
wiþ	wiþ
gefuhton	gefeohtan
&	None
hæfdon	habban
sige	sige|sigan|seon
&	None
hie	hi|heo
bedrifon	bedrifan
ut	ut
on	on|an
ane	an
ea	ea
&	None
monige	manig
adrencton	adrenсan|adrencan
Her	her
wæs	wesan|seon|beon
Plegemund	plegemund
gecoron	geceosan
of	of
Gode	god
&	None
of	of
eallen	eal
his	hit|his|he
halechen	None
Her	her
for	for|faran
se	se
here	herian|here|heran
east	east
&	None
Earnulf	earnulf
cyning	cyning
gefeaht	gefeohtan|feссan
wið	wiþ|wið
ðæm	þæm|se
ræde.here	rædehere
ær	ær
þa	þu|þa|se
scipu	scip
cuomon	None
mid	mid
East.Francum	east-francan
&	None
Seaxum	seaxe
&	None
Bægerum	bægere
&	None
hine	he
gefliemde	geflyman
&	None
þrie	þrie|þri
Scottas	scottas
comon	cuman
to	toh|to
Ælfrede	ælfred
cyninge	cyninge|cyning
on	on|an
anum	an
bate	bat
butan	butan
ælcum	ælc
gereþrum	gereþru
of	of
Hibernia	hibernia
þonon	þanan
hi	hi|heo
hi	hi|heo
bestælon	bestelan
forþon	forðam
þe	þu|þe|se
hi	hi|heo
woldon	willan
for	for|faran
Godes	godes|god
lufan	lufu|lufe
on	on|an
elþiodignesse	elþeodignes
beon	beon|beo|bannan
hi	hi|heo
ne	nesan|neh|ne
rohton	reссan|reccan|recan
hwær	hwær
Se	se
bat	bitan|bat
wæs	wesan|seon|beon
geworht	wyrсean|wyrсan|wyrcan|gewyrсean|gewyrсan|gewyrcan
of	of
þriddan	þridda
healfre	healf
hyde	hydan|hyd
þe	þu|þe|se
hi	hi|heo
on	on|an
foron	faran
&	None
hi	hi|heo
namon	niman
mid	mid
him	him|hi|he
þæt	þæt|se
hi	hi|heo
hæfdun	None
to	toh|to
seofon	seofon
nihtum	niht|neaht
mete	mete|metan|met
&	None
þa	þu|þa|se
comon	cuman
hie	hi|heo
ymb	ymb
vii	seofon
niht	niht|neaht
to	toh|to
londe	land
on	on|an
Cornwalum	cornwealas
&	None
foron	faran
þa	þu|þa|se
sona	sona
to	toh|to
Ælfrede	ælfred
cyninge	cyninge|cyning
Þus	þus
hie	hi|heo
wæron	wesan|seon|beon
genemnde	genemnan
Dubslane	dubslane
&	None
Maccbethu	maccbethu
&	None
Maelinmun	maelinmun
&	None
Swifneh	swifneh
se	se
betsta	god
lareow	lareow
þe	þu|þe|se
on	on|an
Scottum	scottas
wæs	wesan|seon|beon
gefor	gefaran
&	None
þy	þywan|þy|þe|se
ilcan	ilca
geare	geare|gear
ofer	ofer
Eastron	easter
ymbe	ymbe|ymb
gang.dagas	gangdagas
oþþe	oþþe|oððe
ær	ær
æteowde	æteowian
se	se
steorra	steorra
þe	þu|þe|se
mon	mann|man
on	on|an
boclæden	bocleden
hæt	hætan|hatan
cometa	cometa
Same	sum
men	mann
cweþaþ	cweþan
on	on|an
Englisc	englisc|Englisc
þæt	þæt|se
hit	hit
sie	wesan|seon|nesan
feaxede	feaxede
steorra	steorra
forþæm	forðam
þær	þær
stent	standan
lang	lang
leoma	leoma
of	of
hwilum	hwilum|hwil
on	on|an
ane	an
healfe	healf
hwilum	hwilum|hwil
on	on|an
ælce	ælc
healfe	healf
Her	her
on	on|an
þysum	þes
geare	geare|gear
for	for|faran
se	se
micla	micel
here	herian|here|heran
þe	þu|þe|se
we	we
gefyrn	gefyrn
ymbe	ymbe|ymb
spræcon	sprecan
eft	eft
of	of
þæm	þæm|se
eastrice	eastrice
westweard	westweard
to	toh|to
Bunnan	bune
&	None
þær	þær
wurdon	wurdon|weorþan
gescipode	gescipian
swa	swa
þæt	þæt|se
hie	hi|heo
asettan	asettan
him	him|hi|he
on	on|an
anne	an
siþ	siþ
ofer	ofer
mid	mid
horsum	hors
mid	mid
ealle	ealle|eall|eal
&	None
þa	þu|þa|se
comon	cuman
up	up
on	on|an
Limene	limene
muþan	muþa
mid	mid
ccl	twegenhundfiftig
hunde	hund
scipa	scip
Se	se
muþa	muþa|muþ
is	wesan|seon|is
on	on|an
easteweardre	easteweard
Cent	cent
æt	æt|etan
þæs	se
miclan	micel
wuda	wudu|wudian
eastende	eastende
þe	þu|þe|se
we	we
Andred	andred
hatað	None
se	se
wudu	wudu
is	wesan|seon|is
eastlang	eastlang
&	None
westlang	westlang
hundtwelftiges	hundtwelftig
mila	mil
lang	lang
oþþe	oþþe|oððe
lengra	lengra
&	None
þritiges	þritig
mila	mil
brad	brad
seo	seon|seo|se
ea	ea
þe	þu|þe|se
we	we
ær	ær
ymbe	ymbe|ymb
spræcon	sprecan
lið	None
ut	ut
of	of
þæm	þæm|se
wealda	weald
On	on
þa	þu|þa|se
ea	ea
hi	hi|heo
tugon	teon
up	up
hiora	hira|hi
scipu	scip
oþ	oþ
þone	se
weald	wealdan|weald
iiii	feower
mila	mil
fram	fram
þæm	þæm|se
muþan	muþa
uteweardum	uteweard
&	None
þær	þær
abræcon	abrecan
an	on|an
geweorc	geweorc
inne	inne
on	on|an
þæm	þæm|se
fæstenne	fæsten|fæstan
sæton	sittan
feawa	feawa|feaw
cirlisce	ceorlisc
men	mann
on	on|an
&	None
wæs	wesan|seon|beon
samworht	samwyrcan
Þa	þa|se
sona	sona
æfter	æfter
þæm	þæm|se
com	cuman
Hæsten	hæsten
mid	mid
lxxx	hundeahtatig
scipa	scip
up	up
on	on|an
Temese	temesemuþa|temese|temes
muðan	None
&	None
worhte	wyrсean|wyrсan|wyrcan
him	him|hi|he
geweorc	geweorc
æt	æt|etan
Middeltune	middeltun
&	None
se	se
oþer	oþer|oðer
here	herian|here|heran
æt	æt|etan
Apuldre	apuldre
On	on
þys	þis
geare	geare|gear
þæt	þæt|se
wæs	wesan|seon|beon
ymb	ymb
twelf	twelf
monað	monaþ|monað
þæs	se
þe	þu|þe|se
hie	hi|heo
on	on|an
þæm	þæm|se
eastrice	eastrice
geweorc	geweorc
geworht	wyrсean|wyrсan|wyrcan|gewyrсean|gewyrсan|gewyrcan
hæfdon	habban
Norþhymbre	norþan-hymbre
&	None
East.Engle	east-engle
hæfdon	habban
Ælfrede	ælfred
cyninge	cyninge|cyning
aþas	aþ
geseald	sellan|gesellan|geseald
&	None
East.Engle	east-engle
foregisla	foregisel
vi	six
&	None
þeh	þeah
ofer	ofer
þa	þu|þa|se
treowa	treowe|treow
swa	swa
oft	oft
swa	swa
þa	þu|þa|se
oþre	oþer|oðer
hergas	here
mid	mid
ealle	ealle|eall|eal
herige	herian|here
ut	ut
foron	faran
þonne	þonne|se
foron	faran
hie	hi|heo
oþþe	oþþe|oððe
mid	mid
oþþe	oþþe|oððe
on	on|an
heora	hira|hi|heore
healfe	healf
on	on|an
Þa	þa|se
gegaderade	gegaderian
Ælfred	ælfred
cyning	cyning
his	hit|his|he
fierd	fierd
&	None
for	for|faran
þæt	þæt|se
he	he
gewicode	gewician
betwuh	betweoh
þæm	þæm|se
twam	twegen
hergum	here
þær	þær
þær	þær
he	he
niehst	neah
rymet	rymet
hæfde	habban
for	for|faran
wudufæstenne	wudufæsten
ond	and
for	for|faran
wæterfæstenne	wæterfæsten
swa	swa
þæt	þæt|se
he	he
mehte	magan
ægþerne	æghwæðer
geræcan	geræcan
gif	gif
hie	hi|heo
ænigne	ænig
feld	feld
secan	sec
wolden	willan
Þa	þa|se
foron	faran
hie	hi|heo
siþþan	siððan
æfter	æfter
þæm	þæm|se
wealda	weald
hloþum	hloþ
&	None
flocradum	flocrad
bi	bi|be
swa	swa
hwaþerre	hwæðer
efes	efes
swa	swa
hit	hit
þonne	þonne|se
fierdleas	fierdleas
wæs	wesan|seon|beon
&	None
him	him|hi|he
mon	mann|man
eac	eacan|eac
mid	mid
oþrum	oþrum|oþer|oðer
floccum	flocc
sohte	sœ̄сan|seсan|secan
mæstra	micel
daga	dæg|dah|dagian|dag
ælce	ælc
oþþe	oþþe|oððe
on	on|an
dæg	dæg
oþþe	oþþe|oððe
on	on|an
niht	niht|neaht
ge	ge
of	of
þære	þære|se
fierde	fierd
ge	ge
eac	eacan|eac
of	of
þæm	þæm|se
burgum	burh|burg
Hæfde	None
se	se
cyning	cyning
his	hit|his|he
fierd	fierd
on	on|an
tu	twegen
tonumen	toniman
swa	swa
þæt	þæt|se
hie	hi|heo
wæron	wesan|seon|beon
simle	simble
healfe	healf
æt	æt|etan
ham	ham
healfe	healf
ute	ute
butan	butan
þæm	þæm|se
monnum	mann
þe	þu|þe|se
þa	þu|þa|se
burga	burh|burg
healdan	healdan|heald
scolden	sculan
Ne	ne
com	cuman
se	se
here	herian|here|heran
oftor	oft
eall	eall|eal
ute	ute
of	of
þæm	þæm|se
setum	set
þonne	þonne|se
tuwwa	twiwa
oþre	oþer|oðer
siþe	siþ
þa	þu|þa|se
hie	hi|heo
ærest	ærest|ær
to	toh|to
londe	land
comon	cuman
ær	ær
sio	se
fierd	fierd
gesamnod	samnian|gesamnian
wære	wære|wær|wesan|seon|beon
oþre	oþer|oðer
siþe	siþ
þa	þu|þa|se
hie	hi|heo
of	of
þæm	þæm|se
setum	set
faran	faran
woldon	willan
Þa	þa|se
hie	hi|heo
gefengon	gefon
micle	micel
herehyð	herehyþ
&	None
þa	þu|þa|se
woldon	willan
ferian	ferian
norþweardes	norþeweard
ofer	ofer
Temese	temesemuþa|temese|temes
in	in
on	on|an
East.Seaxe	east-seaxe
ongean	ongeagn
þa	þu|þa|se
scipu	scip
Þa	þa|se
forrad	forridan
sio	se
fierd	fierd
hie	hi|heo
foran	foran
&	None
him	him|hi|he
wið	wiþ|wið
gefeaht	gefeohtan|feссan
æt	æt|etan
Fearnhamme	fearnham
&	None
þone	se
here	herian|here|heran
gefliemde	geflyman
&	None
þa	þu|þa|se
herehyþa	herehyþ
ahreddon	ahredan
&	None
hie	hi|heo
flugon	fleon|fleogan
ofer	ofer
Temese	temesemuþa|temese|temes
buton	butan
ælcum	ælc
forda	ford
þa	þu|þa|se
up	up
be	be
Colne	coln
on	on|an
anne	an
iggað	igeoþ
Þa	þa|se
besæt	besittan
sio	se
fierd	fierd
hie	hi|heo
þær	þær
utan	utan
þa	þu|þa|se
hwile	hwil
þe	þu|þe|se
hie	hi|heo
þær	þær
lengest	lengest|lengan|lange
mete	mete|metan|met
hæfdon	habban
Ac	ac
hie	hi|heo
hæfdon	habban
þa	þu|þa|se
heora	hira|hi|heore
stemn	stemn|stefn
gesetenne	gesittan
&	None
hiora	hira|hi
mete	mete|metan|met
genotudne	genotian
&	None
wæs	wesan|seon|beon
se	se
cyng	cyng
þa	þu|þa|se
þiderweardes	þiderweardes
on	on|an
fære	fær
mid	mid
þære	þære|se
scire	scir
þe	þu|þe|se
mid	mid
him	him|hi|he
fierdedon	fyrdian
Þa	þa|se
he	he
þa	þu|þa|se
wæs	wesan|seon|beon
þiderweardes	þiderweardes
&	None
sio	se
oþeru	oðer
fierd	fierd
wæs	wesan|seon|beon
hamweardes	hamweardes
&	None
ða	þe|þa|ða|se
Deniscan	deniscan|denisc
sæton	sittan
þær	þær
behindan	behindan
forþæm	forðam
hiora	hira|hi
cyning	cyning
wæs	wesan|seon|beon
gewundod	wundian|gewundian
on	on|an
þæm	þæm|se
gefeohte	gefeohtan|gefeoht
þæt	þæt|se
hi	hi|heo
hine	he
ne	nesan|neh|ne
mehton	magan
ferian	ferian
Þa	þa|se
gegaderedon	gegaderian
þa	þu|þa|se
þe	þu|þe|se
in	in
Norþhymbrum	norþan-hymbre
bugeað	None
&	None
on	on|an
East.Englum	east-engle
sum	sum|su
hund	hund|1000
scipa	scip
&	None
foron	faran
suð	suþ
ymbutan	ymbutan
&	None
sum	sum|su
feowertig	feowertig
scipa	scip
norþ	norþ
ymbutan	ymbutan
&	None
ymbsæton	ymbsittan
an	on|an
geweorc	geweorc
on	on|an
Defna.scire	defena
be	be
þære	þære|se
norþ.sæ	norþsæ
&	None
þa	þu|þa|se
þe	þu|þe|se
suð	suþ
ymbutan	ymbutan
foron	faran
ymb.sæton	ymbsittan
Exancester	exancester
Þa	þa|se
se	se
cyng	cyng
þæt	þæt|se
hierde	hyran|hierde|hierdan|hieran
þa	þu|þa|se
wende	wendan|wenan
he	he
hine	he
west	westan|west|wesan
wið	wiþ|wið
Exanceastres	exanceaster
mid	mid
ealre	eall|eal
þære	þære|se
fierde	fierd
buton	butan
swiþe	swiþe|swiþan|swiþ|swiðe
gewaldenum	gewealden
dæle	dælan|dæl
easteweardes	easteweard
þæs	se
folces	folc
Þa	þa|se
foron	faran
forð	forþ|forð
oþ	oþ
þe	þu|þe|se
hie	hi|heo
comon	cuman
to	toh|to
Lundenbyrg	lundenburh
&	None
þa	þu|þa|se
mid	mid
þæm	þæm|se
burgwarum	burhware
&	None
þæm	þæm|se
fultume	fultuman|fultum
þe	þu|þe|se
him	him|hi|he
westan	weste|westan
com	cuman
foron	faran
east	east
to	toh|to
Beamfleote	beamfleot
Wæs	None
Hæsten	hæsten
þa	þu|þa|se
þær	þær
cumen	cuman
mid	mid
his	hit|his|he
herge	here
þe	þu|þe|se
ær	ær
æt	æt|etan
Middeltune	middeltun
sæt	sæt|sittan
&	None
eac	eacan|eac
se	se
micla	micel
here	herian|here|heran
wæs	wesan|seon|beon
þa	þu|þa|se
þær	þær
tocumen	tocuman
þe	þu|þe|se
ær	ær
on	on|an
Limene	limene
muþan	muþa
sæt	sæt|sittan
æt	æt|etan
Apuldre	apuldre
Hæfde	None
Hæsten	hæsten
ær	ær
geworht	wyrсean|wyrсan|wyrcan|gewyrсean|gewyrсan|gewyrcan
þæt	þæt|se
geweorc	geweorc
æt	æt|etan
Beamfleote	beamfleot
&	None
wæs	wesan|seon|beon
þa	þu|þa|se
ut	ut
afaren	afaran
on	on|an
hergaþ	hergian|hergaþ
&	None
wæs	wesan|seon|beon
se	se
micla	micel
here	herian|here|heran
æt	æt|etan
ham	ham
Þa	þa|se
foron	faran
hie	hi|heo
to	toh|to
&	None
gefliemdon	geflyman
þone	se
here	herian|here|heran
&	None
þæt	þæt|se
geweorc	geweorc
abræcon	abrecan
&	None
genamon	geniman
eal	eal
þæt	þæt|se
þær	þær
binnan	binnan
wæs	wesan|seon|beon
ge	ge
on	on|an
feo	feoh
ge	ge
on	on|an
wifum	wif
ge	ge
eac	eacan|eac
on	on|an
bearnum	bearn
&	None
brohton	bringan|brengan
eall	eall|eal
in	in
to	toh|to
Lundenbyrig	lundenburh
&	None
þa	þu|þa|se
scipu	scip
eall	eall|eal
oðþe	oððe
tobræcon	tobrecan
oþþe	oþþe|oððe
forbærndon	forbærnan
oþþe	oþþe|oððe
to	toh|to
Lundenbyrig	lundenburh
brohton	bringan|brengan
oþþe	oþþe|oððe
to	toh|to
Hrofesceastre	hrofesceaster
&	None
Hæstenes	hæsten
wif	wif
&	None
his	hit|his|he
suna	sunu
twegen	twegen
mon	mann|man
brohte	bringan|brengan
to	toh|to
þæm	þæm|se
cyninge	cyninge|cyning
&	None
he	he
hi	hi|heo
him	him|hi|he
eft	eft
ageaf	agifan|agiefan
forþæm	forðam
þe	þu|þe|se
hiora	hira|hi
wæs	wesan|seon|beon
oþer	oþer|oðer
his	hit|his|he
godsunu	godsunu
oþer	oþer|oðer
Æðeredes	æþered
ealdormonnes	ealdorman
Hæfdon	None
hi	hi|heo
hiora	hira|hi
onfangen	onfon
ær	ær
Hæsten	hæsten
to	toh|to
Beamfleote	beamfleot
come	cuman|come
&	None
he	he
him	him|hi|he
hæfde	habban
geseald	sellan|gesellan|geseald
gislas	gisl|gisel
&	None
aðas	aþ
&	None
se	se
cyng	cyng
him	him|hi|he
eac	eacan|eac
wel	wel
feoh	feoh
sealde	sellan
&	None
eac	eacan|eac
swa	swa
þa	þu|þa|se
he	he
þone	se
cniht	cniht
agef	None
&	None
þæt	þæt|se
wif	wif
Ac	ac
sona	sona
swa	swa
hie	hi|heo
to	toh|to
Bleam.fleote	beamfleot
comon	cuman
&	None
þæt	þæt|se
geweorc	geweorc
geworht	wyrсean|wyrсan|wyrcan|gewyrсean|gewyrсan|gewyrcan
wæs	wesan|seon|beon
swa	swa
hergode	hergian
he	he
on	on|an
his	hit|his|he
rice	romana
þone	se
ilcan	ilca
ende	ende
þe	þu|þe|se
Æþered	æþered
his	hit|his|he
cumpæder	cumpæder
healdan	healdan|heald
sceolde	sculan
&	None
eft	eft
oþre	oþer|oðer
siþe	siþ
he	he
wæs	wesan|seon|beon
on	on|an
hergað	hergaþ
gelend	gelendan
on	on|an
þæt	þæt|se
ilce	ilca
rice	romana
þa	þu|þa|se
þa	þu|þa|se
mon	mann|man
his	hit|his|he
geweorc	geweorc
abræc	abrecan
Þa	þa|se
se	se
cyning	cyning
hine	he
þa	þu|þa|se
west	westan|west|wesan
wende	wendan|wenan
mid	mid
þære	þære|se
fierde	fierd
wið	wiþ|wið
Exancestres	exanceaster
swa	swa
ic	ic
ær	ær
sæde	sæd|secgan
&	None
se	se
here	herian|here|heran
þa	þu|þa|se
burg	cantwara|burg
beseten	besittan
hæfde	habban
Þa	þa|se
he	he
þær	þær
togefaren	tofaran
wæs	wesan|seon|beon
þa	þu|þa|se
eodon	gan|eadan
hie	hi|heo
to	toh|to
hiora	hira|hi
scipum	scip
Þa	þa|se
he	he
þa	þu|þa|se
wið	wiþ|wið
þone	se
here	herian|here|heran
þær	þær
wæst	wæþan|west
abisgod	abisgian
wæs	wesan|seon|beon
&	None
þa	þu|þa|se
hergas	here
wæron	wesan|seon|beon
þa	þu|þa|se
gegaderode	gegaderian
begen	begen
to	toh|to
Sceobyrig	sceoburh
on	on|an
East.Seaxum	east-seaxe
&	None
þær	þær
geweorc	geweorc
worhtun	None
Foron	None
begen	begen
ætgædere	ætgædere
up	up
be	be
Temese	temesemuþa|temese|temes
&	None
him	him|hi|he
com	cuman
micel	micel
eaca	eaca
to	toh|to
ægþer	æghwæðer
ge	ge
of	of
Eastenglum	east-engle
ge	ge
of	of
Norþhymbrum	norþan-hymbre
Foron	None
þa	þu|þa|se
up	up
be	be
Temese	temesemuþa|temese|temes
oþ	oþ
þæt	þæt|se
hie	hi|heo
gedydon	gedon
æt	æt|etan
Sæferne	sæfern
þa	þu|þa|se
up	up
be	be
Sæferne	sæfern
Þa	þa|se
gegaderode	gegaderian
Æþered	æþered
ealdormon	ealdorman
&	None
Æþelm	æþelm
ealdorman	ealdorman
&	None
Æþelnoþ	æþelnoþ
ealdorman	ealdorman
&	None
þa	þu|þa|se
cinges	None
þegnas	þegn|þegen
þe	þu|þe|se
þa	þu|þa|se
æt	æt|etan
ham	ham
æt	æt|etan
þæm	þæm|se
geweorcum	geweorc
wæron	wesan|seon|beon
of	of
ælcre	ælс|ælc
byrig	burh|burg
be	be
eastan	eastan|east
Pedredan	pedrida
ge	ge
be	be
westan	weste|westan
Sealwuda	sealhwudu
ge	ge
be	be
eastan	eastan|east
ge	ge
eac	eacan|eac
be	be
norþan	norþan|norþ
Temese	temesemuþa|temese|temes
&	None
be	be
westan	weste|westan
Sæfern	sæfern
ge	ge
eac	eacan|eac
sum	sum|su
dæl	dælan|dæl
þæs	se
Norð.Weal.cynnes	norþ-wealh-cynn
Þa	þa|se
hie	hi|heo
þa	þu|þa|se
ealle	ealle|eall|eal
gegaderode	gegaderian
wæron	wesan|seon|beon
þa	þu|þa|se
offoron	offaran
hie	hi|heo
þone	se
here	herian|here|heran
hindan	hindan
æt	æt|etan
Buttingtune	buttingtun
on	on|an
Sæferne	sæfern
staþe	stæþ
&	None
hine	he
þær	þær
utan	utan
besæton	besittan
on	on|an
ælce	ælc
healfe	healf
on	on|an
anum	an
fæstenne	fæsten|fæstan
Þa	þa|se
hie	hi|heo
ða	þe|þa|ða|se
fela	fela
wucena	wicu
sæton	sittan
on	on|an
twa	twegen|twa
healfe	healf
þære	þære|se
e	flet
&	None
se	se
cyng	cyng
wæs	wesan|seon|beon
west	westan|west|wesan
on	on|an
Defnum	defenas
wiþ	wiþ
þone	se
sciphere	sciphere
þa	þu|þa|se
wæron	wesan|seon|beon
hie	hi|heo
mid	mid
metelieste	meteleast
gewægde	gewægan
&	None
hæfdon	habban
miclne	micel
dæl	dælan|dæl
þara	þær|se
horsa	hors
freten	fretan
&	None
þa	þu|þa|se
oþre	oþer|oðer
wæron	wesan|seon|beon
hungre	hungor
acwolen	acwelan
Þa	þa|se
eodon	gan|eadan
hie	hi|heo
ut	ut
to	toh|to
ðæm	þæm|se
monnum	mann
þe	þu|þe|se
on	on|an
easthealfe	easthealf
þære	þære|se
e	flet
wicodon	wician
&	None
him	him|hi|he
wiþ	wiþ
gefuhton	gefeohtan
&	None
þa	þu|þa|se
Cristnan	cristen
hæfdon	habban
sige	sige|sigan|seon
&	None
þær	þær
wearð	None
Ordheh	ordheh
cyninges	cyning
þegn	þegn
ofslægen	ofslean
&	None
eac	eacan|eac
monige	manig
oþre	oþer|oðer
cyninges	cyning
þegnas	þegn|þegen
&	None
þara	þær|se
Deniscra	denisc
þær	þær
wearð	None
swiþe	swiþe|swiþan|swiþ|swiðe
mycel	micel
wæl	wæl|wel
geslegen	slean|geslean
&	None
se	se
dæl	dælan|dæl
þe	þu|þe|se
þær	þær
aweg	aweg
com	cuman
wurdon	wurdon|weorþan
on	on|an
fleame	fleam
generede	generian
Þa	þa|se
hie	hi|heo
on	on|an
East.Seaxe	east-seaxe
comon	cuman
to	toh|to
hiora	hira|hi
geweorce	geweorc
&	None
to	toh|to
hiora	hira|hi
scipum	scip
þa	þu|þa|se
gegaderade	gegaderian
sio	se
laf	laf
eft	eft
of	of
East.Englum	east-engle
&	None
of	of
Norðhymbrum	norþan-hymbre
micelne	micelne|micel
here	herian|here|heran
onforan	onforan
winter	winter
&	None
befæston	befæstan
hira	hira|hi
wif	wif
&	None
hira	hira|hi
scipu	scip
&	None
hira	hira|hi
feoh	feoh
on	on|an
East.Englum	east-engle
&	None
foron	faran
anstreces	anstreces
dæges	dæg
&	None
nihtes	niht
þæt	þæt|se
hie	hi|heo
gedydon	gedon
on	on|an
anre	an
westre	weste|west
ceastre	ceaster
on	on|an
Wirhealum	wirhealh
seo	seon|seo|se
is	wesan|seon|is
Legaceaster	legaceaster
gehaten	hatan|gehatan
Þa	þa|se
ne	nesan|neh|ne
mehte	magan
seo	seon|seo|se
fird	None
hie	hi|heo
na	na
hindan	hindan
offaran	offaran
ær	ær
hie	hi|heo
wæron	wesan|seon|beon
inne	inne
on	on|an
þæm	þæm|se
geweorce	geweorc
Besæton	besittan
þeah	þiсgan|þicgan|þeon|þeah
þæt	þæt|se
geweorc	geweorc
utan	utan
sume	sum
twegen	twegen
dagas	dæg|dah|dag
&	None
genamon	geniman
ceapes	ceap
eall	eall|eal
þæt	þæt|se
þær	þær
buton	butan
wæs	wesan|seon|beon
&	None
þa	þu|þa|se
men	mann
ofslogon	ofslean
þe	þu|þe|se
hie	hi|heo
foran	foran
forridan	forridan
mehton	magan
butan	butan
geweorce	geweorc
&	None
þæt	þæt|se
corn	corn
eall	eall|eal
forbærndon	forbærnan
&	None
mid	mid
hira	hira|hi
horsum	hors
fretton	frettan
on	on|an
ælcre	ælс|ælc
efenehðe	efenehþ
&	None
þæt	þæt|se
wæs	wesan|seon|beon
ymb	ymb
twelf	twelf
monað	monaþ|monað
þæs	se
þe	þu|þe|se
hie	hi|heo
ær	ær
hider	hider
ofer	ofer
sæ	sæ
comon	cuman
Ond	and
þa	þu|þa|se
sona	sona
æfter	æfter
þæm	þæm|se
on	on|an
ðys	þes
gere	gear
for	for|faran
se	se
here	herian|here|heran
of	of
Wirheale	wirhealh
in	in
on	on|an
Norð.Wealas	norþ-walas
forþæm	forðam
hie	hi|heo
ðær	þær
sittan	sittan
ne	nesan|neh|ne
mehton	magan
þæt	þæt|se
wæs	wesan|seon|beon
forðy	forði
þe	þu|þe|se
hie	hi|heo
wæron	wesan|seon|beon
benumene	beniman
ægðer	æghwæðer
ge	ge
þæs	se
ceapes	ceap
ge	ge
þæs	se
cornes	corn
ðe	þu|þe|ðe
hie	hi|heo
gehergod	hergian|gehergian
hæfdon	habban
Þa	þa|se
hie	hi|heo
ða	þe|þa|ða|se
eft	eft
ut	ut
of	of
Norð.Wealum	norþ-walas
wendon	wendan|wenan
mid	mid
þære	þære|se
herehyðe	herehyþ
þe	þu|þe|se
hie	hi|heo
ðær	þær
genumen	niman|geniman
hæfdon	habban
þa	þu|þa|se
foron	faran
hie	hi|heo
ofer	ofer
Norðhymbra	norþan-hymbre
lond	land
&	None
East.Engla	east-engle
swa	swa
swa	swa
sio	se
fird	None
hie	hi|heo
geræcan	geræcan
ne	nesan|neh|ne
mehte	magan
oþ	oþ
þæt	þæt|se
hie	hi|heo
comon	cuman
on	on|an
East.Seaxna	east-seaxe
lond	land
easteweard	easteweard
on	on|an
an	on|an
igland	igland
þæt	þæt|se
is	wesan|seon|is
ute	ute
on	on|an
þære	þære|se
sæ	sæ
þæt	þæt|se
is	wesan|seon|is
Meres	None
ig	ig
haten	hatan
&	None
þa	þu|þa|se
se	se
here	herian|here|heran
eft	eft
hamweard	hamweard
wende	wendan|wenan
þe	þu|þe|se
Exanceaster	exanceaster
beseten	besittan
hæfde	habban
þa	þu|þa|se
hergodon	hergian
hie	hi|heo
up	up
on	on|an
Suð.Seaxum	suþ-seaxe
neah	neah
Cisseceastre	cisseceaster
&	None
þa	þu|þa|se
burgware	burhware
hie	hi|heo
gefliemdon	geflyman
&	None
hira	hira|hi
monig	manig
hund	hund|1000
ofslogon	ofslean
&	None
hira	hira|hi
scipu	scip
sumu	sum
genamon	geniman
Ða	þa|se
þy	þywan|þy|þe|se
