Mæg	mag
wyllan	willa
He	he
genam	geniman
hi	hi|heo
þa	þu|þa|se
onsundron	onsundrum
and	and
sæde	sæd|secgan
hyre	hyrian|hyre|hyran|hyr|hire|heo
gewislice	gewislice
hwæt	hwæt#2
heo	heo
man	munan|mann|man
ne	nesan|neh|ne
wæs	wesan|seon|beon
and	and
hwylcere	hwilc
mægþe	mægþ
and	and
þæt	þæt|se
heo	heo
þurh	þurh
mægðhad	mægþhad
mycclum	micel
gelicode	gelician
þam	þæm|þam|se
heofonlican	heofonlic
cyninge	cyninge|cyning
þe	þu|þe|se
heo	heo
gecoren	сeosan|geсeosan|gecoren|geceosan|ceosan
hæfde	habban
and	and
cwæð	cweðan
þæt	þæt|se
heo	heo
sceolde	sculan
swiðlice	swiþlice
æhtnyssa	eahtnes
for	for|faran
mægðhade	mægþhad
ðrowian	None
and	and
þeah	þiсgan|þicgan|þeon|þeah
beon	beon|beo|bannan
gescyld	gescildan
þurh	þurh
þone	se
soðan	soð
Drihten	dryhten
þe	þu|þe|se
gescylt	gescildan
his	hit|his|he
gecorenan	geceosan
To	to
hire	hire|heo
twam	twegen
cnihtum	cniht
he	he
cwæð	cweðan
þæt	þæt|se
hi	hi|heo
heoldan	None
æþelborennyss	æþelborenness
on	on|an
mode	mod
þeah	þiсgan|þicgan|þeon|þeah
þe	þu|þe|se
hi	hi|heo
mannum	mann
þeowdon	þeowian|þeowan
and	and
cwæð	cweðan
þæt	þæt|se
hi	hi|heo
Crist	crist|Crist
gespræce	gesprecan
þysum	þes
godspellicum	godspellic
wordum	word
Ne	ne
hate	hatan|hat
ic	ic
eow	ge|eowan|eow
na	na
þeowan	þeowan|þeow
ac	acan|ac
ge	ge
synd	None
mine	min
freond	freond
Þa	þa|se
bebead	bebeodan
se	se
biscop	bisceop
þam	þæm|þam|se
gebogenan	gebugan
mædene	mæden
þæt	þæt|se
heo	heo
swa	swa
þurhwunade	None
on	on|an
þam	þæm|þam|se
wærlicum	werlic
hiwe	hiw
oþ	oþ
þæt	þæt|se
hi	hi|heo
on	on|an
fante	fant
gefullode	gefyllan|gefullian
wurdon	wurdon|weorþan
and	and
mynsterlicre	mynsterlic
drohtnunge	drohtnung
dearnunge	dearnunga
geþeodde	geþeodan
Eugenia	eugenia
þa	þu|þa|se
wunode	wunian
on	on|an
þam	þæm|þam|se
mynstre	mynster
mid	mid
wærlicum	werlic
mode	mod
þeah	þiсgan|þicgan|þeon|þeah
þe	þu|þe|se
heo	heo
mæden	mæden|mecgan
wære	wære|wær|wesan|seon|beon
mid	mid
hyre	hyrian|hyre|hyran|hyr|hire|heo
twam	twegen
cnihtum	cniht
uncuð	uncuþ
gehwam	gehwa
And	and
heold	healdan
on	on|an
hyre	hyrian|hyre|hyran|hyr|hire|heo
þeawum	þeaw
halige	halig
drohtnunge	drohtnung
ðurh	þurh|ðurh
modes	mod
liþnesse	liðness
and	and
mycelre	micel
eadmodnesse	eadmodnes
and	and
þurh	þurh
halige	halig
mægnu	mægen
þam	þæm|þam|se
hælende	hælend|hælan
gecwæmde	gecweman
Heo	heo
þeah	þiсgan|þicgan|þeon|þeah
on	on|an
lare	lar
þæs	se
rihtan	rihtan|riht
geleafan	geleafa
and	and
on	on|an
godcundlicum	godcundlic
gewrytum	None
mid	mid
godum	god
wyllan	willa
and	and
wearð	None
awend	awendan
of	of
wulfe	wulf
to	toh|to
sceape	sceap
Hyre	heo
geeuenlæhton	geefemlæcan
eac	eacan|eac
hyre	hyrian|hyre|hyran|hyr|hire|heo
cnihtas	cniht
Protus	protus
et	etan|et
Iacinctus	iacinctus
on	on|an
synderlicre	synderliс|synderlic
drohtnunge	drohtnung
and	and
hyre	hyrian|hyre|hyran|hyr|hire|heo
digolnysse	digolnes
eallum	eall|eal
bedyrndon	bedyrnan
Philippus	philippus
ða	þe|þa|ða|se
se	se
fæder	fæder
forwearð	None
on	on|an
mode	mod
and	and
seo	seon|seo|se
modor	modor
Claudia	claudia
mid	mid
murcnunge	murcnung
wæs	wesan|seon|beon
fornumen	forniman
and	and
eall	eall|eal
seo	seon|seo|se
mægð	mægþ
on	on|an
mode	mod
wearð	None
astyred	astyrian
and	and
sohten	sœ̄сan|seсan|secan
þæt	þæt|se
mæden	mæden|mecgan
mid	mid
mycelre	micel
sarnysse	sarness
Hi	hi
axoden	axian
æt	æt|etan
wyccum	wicca
and	and
æt	æt|etan
wisum	wise|wis
dryum	dry
eac	eacan|eac
æt	æt|etan
heora	hira|hi|heore
leasum	leas
godum	god
be	be
þære	þære|se
Godes	godes|god
þinene	þignen
Him	him|hi|he
wearð	None
þa	þu|þa|se
gesæd	gesecgan
to	toh|to
soþum	soþ
þinge	þingan|þing
þæt	þæt|se
ða	þe|þa|ða|se
godes	god
hi	hi|heo
gegripon	gegripan
for	for|faran
hyre	hyrian|hyre|hyran|hyr|hire|heo
godnysse	godnes
Þa	þa|se
gelyfde	gelyfan|gelifan
se	se
fæder	fæder
þære	þære|se
leasunga	leasung
and	and
het	hettan|het|hedan|hatan
asmiðigen	asmiðian
of	of
smætum	smæte
golde	gold
hyre	hyrian|hyre|hyran|hyr|hire|heo
anlycnysse	anlicnes
and	and
þa	þu|þa|se
wurðode	None
swa	swa
swa	swa
halige	halig
gydenan	gyden
ac	acan|ac
hit	hit
wæs	wesan|seon|beon
gold	gold
swa	swa
þeah	þiсgan|þicgan|þeon|þeah
Þa	þa|se
æfter	æfter
þrym	þri
gearum	gear
þæs	se
þe	þu|þe|se
heo	heo
gecyrred	gecyrran
wæs	wesan|seon|beon
gewat	gewitan
se	se
abbod	abbad
þe	þu|þe|se
hyre	hyrian|hyre|hyran|hyr|hire|heo
ealdor	ealdor
wæs	wesan|seon|beon
And	and
þa	þu|þa|se
gebroðra	gebroðor
sona	sona
ceosan	None
ongunnen	onginnan
Eugenian	eugenia
to	toh|to
abbude	abbad
for	for|faran
hyre	hyrian|hyre|hyran|hyr|hire|heo
arfæstan	arfæst
life	lif
and	and
n	næs|ne
yston	ystan
þæt	þæt|se
heo	heo
wæs	wesan|seon|beon
wimman	None
swa	swa
þeah	þiсgan|þicgan|þeon|þeah
Ða	þa|se
wearð	None
þæt	þæt|se
mæden	mæden|mecgan
mycclum	micel
hohful	hohfull
hu	hu
heo	heo
æfre	æfre
wæras	wer
wissian	wissian
sceolde	sculan
Ne	ne
dorste	durran
swa	swa
þeah	þiсgan|þicgan|þeon|þeah
hi	hi|heo
ealle	ealle|eall|eal
gedrefan	gedrefan
and	and
hyra	hyra|hyr|hira|hi
geþeaht	þeссean|þeссan|þeccan|geþeaht
forseon	forseon
ac	acan|ac
fæng	None
to	toh|to
ðam	ðam|se
hade	had
